2017-11-17-10-48-18    UserID [0]    Transaction Complete 
2017-11-17-10-48-18    UserID [1]    Transaction Complete 
2017-11-17-10-48-18    UserID [0]    Transaction Complete 
2017-11-17-10-48-18    UserID [1]    Transaction Complete 
2017-11-17-10-48-18    UserID [0]    Transaction Complete 
2017-11-17-10-48-18    UserID [1]    Transaction Complete 
2017-11-17-10-48-18    UserID [0]    Transaction Complete 
2017-11-17-10-48-18    UserID [1]    Transaction Complete 
2017-11-17-10-48-19    UserID [1]    Transaction Complete 
2017-11-17-10-48-19    UserID [0]    Transaction Complete 
2017-11-17-10-48-19    UserID [1]    Transaction Complete 
2017-11-17-10-48-19    UserID [0]    Transaction Complete 
2017-11-17-10-48-19    UserID [0]    Transaction Complete 
2017-11-17-10-48-19    UserID [1]    Transaction Complete 
2017-11-17-10-48-19    UserID [0]    Transaction Complete 
2017-11-17-10-48-19    UserID [1]    Transaction Complete 
2017-11-17-10-48-20    UserID [0]    Transaction Complete 
2017-11-17-10-48-20    UserID [1]    Transaction Complete 
2017-11-17-10-48-20    UserID [1]    Transaction Complete 
2017-11-17-10-48-20    UserID [0]    Transaction Complete 
2017-11-17-10-48-20    UserID [0]    Transaction Complete 
2017-11-17-10-48-20    UserID [1]    Transaction Complete 
2017-11-17-10-48-20    UserID [1]    Transaction Complete 
2017-11-17-10-48-20    UserID [0]    Transaction Complete 
2017-11-17-10-48-21    UserID [0]    Transaction Complete 
2017-11-17-10-48-21    UserID [1]    Transaction Complete 
2017-11-17-10-48-21    UserID [1]    Transaction Complete 
2017-11-17-10-48-21    UserID [0]    Transaction Complete 
2017-11-17-10-48-21    UserID [0]    Transaction Complete 
2017-11-17-10-48-21    UserID [1]    Transaction Complete 
2017-11-17-10-48-21    UserID [0]    Transaction Complete 
2017-11-17-10-48-21    UserID [1]    Transaction Complete 
2017-11-17-10-48-22    UserID [0]    Transaction Complete 
2017-11-17-10-48-22    UserID [1]    Transaction Complete 
2017-11-17-10-48-22    UserID [1]    Transaction Complete 
2017-11-17-10-48-22    UserID [0]    Transaction Complete 
2017-11-17-10-48-22    UserID [1]    Transaction Complete 
2017-11-17-10-48-22    UserID [0]    Transaction Complete 
2017-11-17-10-48-22    UserID [1]    Transaction Complete 
2017-11-17-10-48-22    UserID [0]    Transaction Complete 
2017-11-17-10-48-23    UserID [1]    Transaction Complete 
2017-11-17-10-48-23    UserID [0]    Transaction Complete 
2017-11-17-10-48-23    UserID [1]    Transaction Complete 
2017-11-17-10-48-23    UserID [0]    Transaction Complete 
2017-11-17-10-48-23    UserID [1]    Transaction Complete 
2017-11-17-10-48-23    UserID [0]    Transaction Complete 
2017-11-17-10-48-23    UserID [0]    Transaction Complete 
2017-11-17-10-48-23    UserID [1]    Transaction Complete 
2017-11-17-10-48-24    UserID [0]    Transaction Complete 
2017-11-17-10-48-24    UserID [1]    Transaction Complete 
2017-11-17-10-48-24    UserID [1]    Transaction Complete 
2017-11-17-10-48-24    UserID [0]    Transaction Complete 
2017-11-17-10-48-24    UserID [1]    Transaction Complete 
2017-11-17-10-48-24    UserID [0]    Transaction Complete 
2017-11-17-10-48-24    UserID [1]    Transaction Complete 
2017-11-17-10-48-24    UserID [0]    Transaction Complete 
2017-11-17-10-48-24    UserID [0]    Transaction Complete 
2017-11-17-10-48-24    UserID [1]    Transaction Complete 
2017-11-17-10-48-25    UserID [0]    Transaction Complete 
2017-11-17-10-48-25    UserID [1]    Transaction Complete 
2017-11-17-10-48-25    UserID [0]    Transaction Complete 
2017-11-17-10-48-25    UserID [1]    Transaction Complete 
2017-11-17-10-48-25    UserID [0]    Transaction Complete 
2017-11-17-10-48-25    UserID [1]    Transaction Complete 
2017-11-17-10-48-25    UserID [1]    Transaction Complete 
2017-11-17-10-48-25    UserID [0]    Transaction Complete 
2017-11-17-10-48-26    UserID [0]    Transaction Complete 
2017-11-17-10-48-26    UserID [1]    Transaction Complete 
2017-11-17-10-48-26    UserID [0]    Transaction Complete 
2017-11-17-10-48-26    UserID [1]    Transaction Complete 
2017-11-17-10-48-26    UserID [1]    Transaction Complete 
2017-11-17-10-48-26    UserID [0]    Transaction Complete 
2017-11-17-10-48-26    UserID [0]    Transaction Complete 
2017-11-17-10-48-26    UserID [1]    Transaction Complete 
2017-11-17-10-48-27    UserID [1]    Transaction Complete 
2017-11-17-10-48-27    UserID [0]    Transaction Complete 
